year,total_farms_count,area_valley_in_percent,area_mountain_in_percent,area_size_0_1,area_size_1_3,area_size_3_5,area_size_5_10,area_size_10_20,area_size_20_30,area_size_30_50,area_size_50_n
1985,98759,59,41,7982,15191,8966,20998,32337,9347,3315,623
1990,92815,58,42,6868,13076,8256,18885,31598,9951,3507,674
1996,79479,59,41,5054,7113,6926,15148,27877,11391,5020,950
1997,77730,59,41,5212,6268,6794,14772,27166,11347,5173,998
1998,76412,59,41,5226,5533,6700,14402,26637,11473,5411,1030
1999,73591,59,41,5258,4810,5884,13677,25808,11474,5559,1121
2000,70537,59,41,3609,4762,5393,13149,24984,11674,5759,1207
2001,68784,58,42,3607,4390,4982,12543,24199,11775,6012,1276
2002,67421,59,41,3593,4191,4651,12049,23640,11789,6133,1375
2003,65866,58,42,2979,4139,4495,11725,23077,11768,6216,1467
2004,64466,59,41,3015,3804,4164,11365,22521,11744,6331,1522
2005,63627,58,42,2806,3816,4025,11108,21994,11806,6494,1578
2006,62830,59,41,2789,3894,3869,10741,21447,11753,6678,1659
2007,61764,59,41,2741,3838,3699,10449,20875,11694,6751,1717
2008,60894,59,41,2763,3791,3617,10068,20379,11628,6852,1796
2009,60034,59,41,2911,3739,3477,9669,19864,11553,6937,1884
2010,59065,59,41,2999,3660,3375,9280,19305,11432,7050,1964
2011,57617,59,41,2462,3661,3224,8935,18728,11320,7208,2079
2012,56575,59,41,2425,3609,3092,8491,18203,11198,7366,2191
2013,55207,59,41,2246,3477,2937,8087,17514,11147,7486,2313
2014,54057,59,41,2261,3358,2796,7689,16733,11122,7651,2447
2015,53253,59,41,2247,3339,2719,7435,16216,11011,7734,2552
2016,52263,59,41,2205,3246,2606,7111,15724,10884,7807,2680
2017,51620,59,41,2199,3241,2581,6930,15324,10725,7870,2750
2018,50852,59,41,2123,3219,2519,6752,14873,10576,7944,2846
